productId,paidRevenue,productTitle,price,discountPrice
04974be6-46e4-42b7-bfe0-e045c6616a9b,600.0, À LA CARTE ONE-TIME INTERVIEW PREP HELP (TECHNICAL & NON TECHNICAL) 2026,500.0,
07fdf4cb-85d8-4f4d-9285-0f712f11c992,300.0,100+ Hours Live Interview Mastery,1000.0,500.0
16ad7bae-2030-4025-86fc-d402e04f32f6,400.0,Dedicated Technical And Non-Technical Case Solutioning & Interview Prep,350.0,250.0
299c7ee3-895a-4574-870a-2de120c2885b,27584.52,6-Month Comprehensive Career Accelerator Program,2500.0,2000.0
3e074e98-24ff-47df-91e0-8c59a492fe9e,4420.66,2026 ONE-YEAR VIP DIAMOND MENTORSHIP ,7500.0,0.0
3e487669-fc09-4c1a-ba0f-e9cbe85b93ce,1000.0,Leadership Training and Soft Skill Development for Technical Contributors ,2500.0,2000.0
3eb0a4e6-0506-454f-99b0-66bcc956317a,2000.0,2026 One-on-One VIP Exclusive Diamond ,20000.0,0.0
4ef52c8a-6714-4534-8b1d-61a6957c661b,200.0,HubSpot CRM Declarative Development,2000.0,0.0
5004c062-c432-4938-ac00-d30ad27e1a7b,9000.0,Babskenky One Year VIP Mentorship,6000.0,5000.0
83aa99b5-d73c-42e6-8f74-13185b8fdf79,885.0,ONE-YEAR VIP MENTORSHIP  for Cybersecurity with Data Intelligence (CDI),7500.0,0.0
9615ba5f-a1a2-42b2-b5d5-8f285e1da44d,200.0,"Five in One : Business Analysis, Salesforce Business Analysis,  Scrum & Agile Theory & Practice  Quality Testing and Product Ownership",5000.0,2000.0
aad87038-a418-4037-ace6-28af85e74ac4,5.0,Babskenky Mentorship and Coaching Consultation (per Hour),300.0,250.0
dde6c27f-c927-43db-a8ac-5030b87bf60e,333.32,HubSpot CRM Theory and Practice,2000.0,0.0
e1abf491-e62c-4ffd-b151-96a925bc6f0c,2650.0,2026 Six-Month Diamond Mentorship,5000.0,0.0
e4a377c5-fa5d-4d8b-be42-c78b03f61c74,100.0,Salesforce Service Cloud with Project (Experienced Cloud),1500.0,0.0
f39f6f6c-4276-4592-b110-de12ec071187,1500.0,Salesforce Development,4000.0,0.0
