productTitle,productId,enrollmentMonth,userId,price,discountPrice
ONE-YEAR VIP MENTORSHIP  for Cybersecurity with Data Intelligence (CDI),83aa99b5-d73c-42e6-8f74-13185b8fdf79,2026-02-01,1,7500.0,0.0
LEGACY ON DEMAND RECORDED COURSES (BUNDLE) 2026,86f00734-b49e-4440-ae14-a523d0f681a1,2025-12-01,1,1000.0,
LEGACY ON DEMAND RECORDED COURSES (BUNDLE) 2026,86f00734-b49e-4440-ae14-a523d0f681a1,2026-01-01,1,1000.0,
On Demand Interview Prep Library,88ea44d2-dfd3-47de-908a-2171c073d89a,2025-06-01,54,300.0,250.0
On Demand Interview Prep Library,88ea44d2-dfd3-47de-908a-2171c073d89a,2025-07-01,8,300.0,250.0
On Demand Interview Prep Library,88ea44d2-dfd3-47de-908a-2171c073d89a,2025-08-01,6,300.0,250.0
On Demand Interview Prep Library,88ea44d2-dfd3-47de-908a-2171c073d89a,2025-09-01,1,300.0,250.0
On Demand Interview Prep Library,88ea44d2-dfd3-47de-908a-2171c073d89a,2025-10-01,7,300.0,250.0
On Demand Interview Prep Library,88ea44d2-dfd3-47de-908a-2171c073d89a,2025-11-01,1,300.0,250.0
On Demand Interview Prep Library,88ea44d2-dfd3-47de-908a-2171c073d89a,2026-01-01,2,300.0,250.0
"Five in One : Business Analysis, Salesforce Business Analysis,  Scrum & Agile Theory & Practice  Quality Testing and Product Ownership",9615ba5f-a1a2-42b2-b5d5-8f285e1da44d,2025-10-01,1,5000.0,2000.0
"Five in One : Business Analysis, Salesforce Business Analysis,  Scrum & Agile Theory & Practice  Quality Testing and Product Ownership",9615ba5f-a1a2-42b2-b5d5-8f285e1da44d,2026-01-01,1,5000.0,2000.0
Babskenky Mentorship and Coaching Consultation (per Hour),aad87038-a418-4037-ace6-28af85e74ac4,2025-05-01,1,300.0,250.0
Admin Full Programs & Courses Access,b81bda59-f7dc-4044-87b1-4fc570710635,2026-01-01,1,19999.0,0.0
HubSpot CRM Theory and Practice,dde6c27f-c927-43db-a8ac-5030b87bf60e,2026-01-01,2,2000.0,0.0
HubSpot CRM Theory and Practice,dde6c27f-c927-43db-a8ac-5030b87bf60e,2026-02-01,1,2000.0,0.0
2026 Six-Month Diamond Mentorship,e1abf491-e62c-4ffd-b151-96a925bc6f0c,2025-12-01,8,5000.0,0.0
2026 Six-Month Diamond Mentorship,e1abf491-e62c-4ffd-b151-96a925bc6f0c,2026-01-01,3,5000.0,0.0
Salesforce Service Cloud with Project (Experienced Cloud),e4a377c5-fa5d-4d8b-be42-c78b03f61c74,2026-01-01,1,1500.0,0.0
Salesforce Service Cloud with Project (Experienced Cloud),e4a377c5-fa5d-4d8b-be42-c78b03f61c74,2026-02-01,1,1500.0,0.0
Salesforce Development,f39f6f6c-4276-4592-b110-de12ec071187,2025-12-01,1,4000.0,0.0
