revenueMonth,revenue
2025-05-01,8502.0
2025-06-01,6576.0
2025-07-01,12175.0
2025-08-01,3150.0
2025-09-01,6250.0
2025-10-01,6117.4
2025-11-01,2650.0
2025-12-01,1500.0
2026-01-01,52869.0
2026-02-01,33964.0
