goalBucket,count,share
business analysis,10,0.08130081300813008
cloud/devops,2,0.016260162601626018
cybersecurity,4,0.032520325203252036
data science/analytics,8,0.06504065040650407
none,18,0.14634146341463414
other,57,0.4634146341463415
salesforce,21,0.17073170731707318
software engineering,3,0.024390243902439025
