courseTitle,courseId,enrollmentMonth,userId
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,2025-07-01,14
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,2025-08-01,6
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,2025-09-01,3
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,2025-10-01,11
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,2025-11-01,8
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,2025-12-01,30
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,2026-01-01,41
Career Spotlight Series : My Babskenky Journey Part 1,a498b188-b877-4834-ab43-ea4efdcee5f8,2026-02-01,5
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2025-06-01,55
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2025-07-01,13
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2025-08-01,6
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2025-09-01,3
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2025-10-01,11
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2025-11-01,8
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2025-12-01,28
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2026-01-01,39
13-Weeks Interview Prep Boot Camp - June 2025,a765c057-8a9d-42db-a3ed-fd7e28acb4d1,2026-02-01,3
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2025-06-01,50
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2025-07-01,13
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2025-08-01,6
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2025-09-01,3
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2025-10-01,11
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2025-11-01,9
Triple Play Course Gamma. Salesforce Admin Essentials,a95d58be-ebf1-49f8-8362-705ec50cc68b,2025-12-01,77
